GBAC,country,host,collection_date,taxon,ORF1b-nt17,ORF2-aa25,color_orf1b16,code,1bcolor,2color
ON571597/CHN/human/2019/MAstV1,CHN,human,2019.0,MAstV1,13,0,#abdaab,ccac,#7BEA3B,#43B144
ON571598/CHN/human/2021/MAstV1,CHN,human,2021.0,MAstV1,13,0,#62e262,ccad,#7BEA3B,#43B144
ON595824/AUS/cat/2017/MAstV2,AUS,cat,2017.0,MAstV2,14,1,#98b9da,ccae,#DABFB0,#51EAEE
ON595825/AUS/cat/2016/MAstV2,AUS,cat,2016.0,MAstV2,14,1,#4496e9,ccb,#DABFB0,#51EAEE
ON595826/AUS/cat/2017/MAstV2,AUS,cat,2017.0,MAstV2,14,1,#238bf3,ccba,#DABFB0,#51EAEE
ON595827/AUS/cat/2017/MAstV2,AUS,cat,2017.0,MAstV2,14,1,#1887f7,ccbb,#DABFB0,#51EAEE
ON595829/AUS/cat/2017/MAstV2,AUS,cat,2017.0,MAstV2,14,1,#0c83fb,ccbc,#DABFB0,#51EAEE
ON595830/AUS/cat/2016/MAstV2,AUS,cat,2016.0,MAstV2,14,1,#3992ec,ccbd,#DABFB0,#51EAEE
ON595831/AUS/cat/2017/MAstV2,AUS,cat,2017.0,MAstV2,14,1,#8fb5db,ccbe,#DABFB0,#51EAEE
ON624251/CHN/cow/2021/NA,CHN,cow,2021.0,,6,68,#e4e458,ccc,#AE8EDF,#B8CFB5
ON624252/CHN/cow/2021/NA,CHN,cow,2021.0,,37,21,#000000,ccca,#B2AF7D,#787A7E
ON624253/CHN/cow/2021/NA,CHN,cow,2021.0,,6,68,#dede75,cccb,#AE8EDF,#B8CFB5
ON624254/CHN/cow/2021/NA,CHN,cow,2021.0,,6,72,#dbdbbd,cccc,#AE8EDF,#5BB9CE
ON624255/CHN/cow/2021/NA,CHN,cow,2021.0,,2,73,#f780db,cccd,#E3EEDD,#8ABD7D
ON624256/CHN/cow/2021/NA,CHN,cow,2021.0,,6,68,#e2e262,ccce,#AE8EDF,#B8CFB5
ON624257/CHN/cow/2021/NA,CHN,cow,2021.0,,6,68,#e0e06c,ccd,#AE8EDF,#B8CFB5
ON624258/CHN/cow/2021/NA,CHN,cow,2021.0,,3,64,#bddbdb,ccda,#CA66DC,#3BF067
ON624259/CHN/cow/2021/NA,CHN,cow,2021.0,,3,64,#b5dada,ccdb,#CA66DC,#3BF067
ON624260/CHN/cow/2021/NA,CHN,cow,2021.0,,6,72,#dadaa7,ccdc,#AE8EDF,#5BB9CE
ON624262/CHN/cow/2021/NA,CHN,cow,2021.0,,3,65,#acdada,ccdd,#CA66DC,#E9698C
ON624263/CHN/cow/2021/NA,CHN,cow,2021.0,,6,72,#e6e64e,ccde,#AE8EDF,#5BB9CE
ON624264/CHN/cow/2021/NA,CHN,cow,2021.0,,2,73,#e0b1d5,cce,#E3EEDD,#8ABD7D
ON624265/CHN/cow/2021/NA,CHN,cow,2021.0,,2,73,#ef8fd9,ccea,#E3EEDD,#8ABD7D
ON624266/CHN/cow/2021/NA,CHN,cow,2021.0,,2,62,#dfb3d5,cceb,#E3EEDD,#E9A2E8
ON624267/CHN/cow/2021/NA,CHN,cow,2021.0,,2,73,#eb97d7,ccec,#E3EEDD,#8ABD7D
ON624268/CHN/cow/2021/NA,CHN,cow,2021.0,,2,35,#ea99d7,cced,#E3EEDD,#DB499A
ON624269/CHN/cow/2021/NA,CHN,cow,2021.0,,2,34,#ddb8d4,ccee,#E3EEDD,#45EEB9
ON624270/CHN/cow/2021/NA,CHN,cow,2021.0,,3,64,#5be3e3,cd,#CA66DC,#3BF067
ON624271/CHN/cow/2021/NA,CHN,cow,2021.0,,6,72,#dbdbb6,cda,#AE8EDF,#5BB9CE
ON624272/CHN/cow/2021/NA,CHN,cow,2021.0,,2,73,#ed93d8,cdaa,#E3EEDD,#8ABD7D
ON624273/CHN/cow/2021/NA,CHN,cow,2021.0,,2,73,#e0afd5,cdab,#E3EEDD,#8ABD7D
ON624274/CHN/cow/2021/NA,CHN,cow,2021.0,,3,65,#86dcdc,cdac,#CA66DC,#E9698C
ON624275/CHN/cow/2021/NA,CHN,cow,2021.0,,2,73,#f584da,cdad,#E3EEDD,#8ABD7D
ON624276/CHN/cow/2021/NA,CHN,cow,2021.0,,2,73,#f682db,cdae,#E3EEDD,#8ABD7D
ON624277/CHN/cow/2021/NA,CHN,cow,2021.0,,2,34,#e6a3d6,cdb,#E3EEDD,#45EEB9
ON624278/CHN/cow/2021/NA,CHN,cow,2021.0,,2,35,#f487da,cdba,#E3EEDD,#DB499A
ON624279/CHN/cow/2021/NA,CHN,cow,2021.0,,6,72,#dddd7e,cdbb,#AE8EDF,#5BB9CE
ON624280/CHN/cow/2021/NA,CHN,cow,2021.0,,2,35,#e99dd7,cdbc,#E3EEDD,#DB499A
ON624281/CHN/cow/2021/NA,CHN,cow,2021.0,,2,34,#e99bd7,cdbd,#E3EEDD,#45EEB9
